year,unemployment_rate,labor_force_participation_rate,labor_force
2006,4.7749999999999995,55.49166666666667,807644.75
2007,4.4750000000000005,55.291666666666664,808237.0833333334
2008,4.5249999999999995,55.23333333333333,810940.3333333334
2009,7.9750000000000005,55.28333333333333,815892.5833333334
2010,8.4,54.69166666666666,810913.5833333334
2011,7.708333333333333,54.291666666666664,807080.5
2012,7.2,54.40833333333333,809125.25
2013,6.708333333333333,53.916666666666664,801166.5
2014,6.491666666666667,53.75833333333333,797470.0833333334
2015,6.541666666666667,53.56666666666666,791935.4166666666
2016,6.075,53.30833333333334,785076.5
2017,5.2,53.541666666666664,783370.75
2018,5.141666666666667,54.40833333333333,791018.9166666666
2019,4.925,54.74166666666667,792039.75
2020,8.333333333333334,53.833333333333336,776637.3333333334
2021,5.141666666666667,53.75833333333333,773058.0
2022,3.858333333333333,54.44166666666666,779844.4166666666
2023,3.858333333333333,54.93333333333334,786607.0833333334
2024,4.091666666666666,54.85833333333333,786865.9166666666
2025,3.9454545454545453,54.39090909090908,781567.0909090909
