org_type,count
BC | Benefit Corporation,163
BT | Business Trust,191
C | Corporation,62800
CA | Cooperative Association,63
CSO | Credit Service Organization,398
DC | Debt Collector,3
EC | Exempt Corporation,2293
ECS | Exempt CSO,5
ELC | Exempt LLC,926
ELP | Exempt LP,1
EMB | Emblem,10
FN | Fictitious Name,3
GP | General Partnership,20
I | Insurance Company,474
LLC | Limited Liability Company,181614
LLP | Limited Liability Partnership,1087
LP | Limited Partnership,1818
LRA | Land Reuse Agency,16
PC | Public Corporation,118
PFP | Purchaser of Future Payments,62
PLC | Professional Limited Liability Company,2718
SP | Sole Proprietor,241
UNA | Unincorporated Non-profit Organization,602
VA | Voluntary Association,2073
